Date,Open,High,Low,Close
2004-03-26,26040.52,26040.52,26040.52,26040.52
2004-03-29,25376.96,25376.96,25376.96,25376.96
2004-03-30,25158.56,25158.56,25158.56,25158.56
2004-03-31,25316.28,25316.28,25316.28,25316.28
2004-04-01,25132.96,25132.96,25132.96,25132.96
2004-04-02,24244.68,24244.68,24244.68,24244.68
2004-04-05,23744.96,23744.96,23744.96,23744.96
2004-04-06,24054.56,24054.56,24054.56,24054.56
2004-04-07,24445.36,24445.36,24445.36,24445.36
2004-04-08,24367.8,24367.8,24367.8,24367.8
2004-04-12,23976.6,23976.6,23976.6,23976.6
2004-04-13,24690.08,24690.08,24690.08,24690.08
2004-04-14,24901.52,24901.52,24901.52,24901.52
2004-04-15,24808.6,24808.6,24808.6,24808.6
2004-04-16,24509.16,24509.16,24509.16,24509.16
2004-04-19,24537.88,24537.88,24537.88,24537.88
2004-04-20,24893.8,24893.8,24893.8,24893.8
2004-04-21,24415.4,24415.4,24415.4,24415.4
2004-04-22,22966.76,22966.76,22966.76,22966.76
2004-04-23,23166.4,23166.4,23166.4,23166.4
2004-04-26,22953.16,22953.16,22953.16,22953.16
2004-04-27,22634.08,22634.08,22634.08,22634.08
2004-04-28,23299.12,23299.12,23299.12,23299.12
2004-04-29,23777.2,23777.2,23777.2,23777.2
2004-04-30,24146.8,24146.8,24146.8,24146.8
2004-05-03,23440.8,23440.8,23440.8,23440.8
2004-05-04,23234.08,23234.08,23234.08,23234.08
2004-05-05,22625.72,22625.72,22625.72,22625.72
2004-05-06,23467.8,23467.8,23467.8,23467.8
2004-05-07,24137.44,24137.44,24137.44,24137.44
2004-05-10,24942.96,24942.96,24942.96,24942.96
2004-05-11,24269,24269,24269,24269
2004-05-12,23856.16,23856.16,23856.16,23856.16
2004-05-13,23846.92,23846.92,23846.92,23846.92
2004-05-14,23963.92,23963.92,23963.92,23963.92
2004-05-17,24641.72,24641.72,24641.72,24641.72
2004-05-18,24470,24470,24470,24470
2004-05-19,23371.24,23371.24,23371.24,23371.24
2004-05-20,23607.88,23607.88,23607.88,23607.88
2004-05-21,23399.44,23399.44,23399.44,23399.44
2004-05-24,22874.48,22874.48,22874.48,22874.48
2004-05-25,21391.64,21391.64,21391.64,21391.64
2004-05-26,21517.08,21517.08,21517.08,21517.08
2004-05-27,21228.76,21228.76,21228.76,21228.76
2004-05-28,21473,21473,21473,21473
2004-06-01,21538.16,21538.16,21538.16,21538.16
2004-06-02,21531.56,21531.56,21531.56,21531.56
2004-06-03,21655.28,21655.28,21655.28,21655.28
2004-06-04,21633.08,21633.08,21633.08,21633.08
2004-06-07,21000.04,21000.04,21000.04,21000.04
2004-06-08,20573.84,20573.84,20573.84,20573.84
2004-06-09,20696.68,20696.68,20696.68,20696.68
2004-06-10,20313.28,20313.28,20313.28,20313.28
2004-06-14,20312.04,20312.04,20312.04,20312.04
2004-06-15,19892.28,19892.28,19892.28,19892.28
2004-06-16,19740.96,19740.96,19740.96,19740.96
2004-06-17,19780.76,19780.76,19780.76,19780.76
2004-06-18,19636.04,19636.04,19636.04,19636.04
2004-06-21,19877.76,19877.76,19877.76,19877.76
2004-06-22,19334.56,19334.56,19334.56,19334.56
2004-06-23,18280.04,18280.04,18280.04,18280.04
2004-06-24,18584.08,18584.08,18584.08,18584.08
2004-06-25,18777.6,18777.6,18777.6,18777.6
2004-06-28,18913.16,18913.16,18913.16,18913.16
2004-06-29,18607.12,18607.12,18607.12,18607.12
2004-06-30,18181.04,18181.04,18181.04,18181.04
2004-07-01,18403.44,18403.44,18403.44,18403.44
2004-07-02,18349.08,18349.08,18349.08,18349.08
2004-07-06,18900.68,18900.68,18900.68,18900.68
2004-07-07,18523.52,18523.52,18523.52,18523.52
2004-07-08,18891.2,18891.2,18891.2,18891.2
2004-07-09,19032,19032,19032,19032
2004-07-12,18951.88,18951.88,18951.88,18951.88
2004-07-13,18675.92,18675.92,18675.92,18675.92
2004-07-14,18625.08,18625.08,18625.08,18625.08
2004-07-15,18773.28,18773.28,18773.28,18773.28
2004-07-16,18891,18891,18891,18891
2004-07-19,18853.96,18853.96,18853.96,18853.96
2004-07-20,18373.36,18373.36,18373.36,18373.36
2004-07-21,19095.72,19095.72,19095.72,19095.72
2004-07-22,18474.16,18474.16,18474.16,18474.16
2004-07-23,18543.16,18543.16,18543.16,18543.16
2004-07-26,18670.88,18670.88,18670.88,18670.88
2004-07-27,18107.32,18107.32,18107.32,18107.32
2004-07-28,17806.16,17806.16,17806.16,17806.16
2004-07-29,17453.08,17453.08,17453.08,17453.08
2004-07-30,17359.04,17359.04,17359.04,17359.04
2004-08-02,17097.96,17097.96,17097.96,17097.96
2004-08-03,17141.04,17141.04,17141.04,17141.04
2004-08-04,17071.12,17071.12,17071.12,17071.12
2004-08-05,17629.4,17629.4,17629.4,17629.4
2004-08-06,18129.64,18129.64,18129.64,18129.64
2004-08-09,17750.36,17750.36,17750.36,17750.36
2004-08-10,17113.12,17113.12,17113.12,17113.12
2004-08-11,17252.16,17252.16,17252.16,17252.16
2004-08-12,17328.68,17328.68,17328.68,17328.68
2004-08-13,17062.28,17062.28,17062.28,17062.28
2004-08-16,16580.36,16580.36,16580.36,16580.36
2004-08-17,16289.12,16289.12,16289.12,16289.12
2004-08-18,15947.84,15947.84,15947.84,15947.84
2004-08-19,16077,16077,16077,16077
2004-08-20,15861.88,15861.88,15861.88,15861.88
2004-08-23,15708.68,15708.68,15708.68,15708.68
2004-08-24,15383.52,15383.52,15383.52,15383.52
2004-08-25,14801.92,14801.92,14801.92,14801.92
2004-08-26,14745.88,14745.88,14745.88,14745.88
2004-08-27,14560.64,14560.64,14560.64,14560.64
2004-08-30,14749,14749,14749,14749
2004-08-31,14620.88,14620.88,14620.88,14620.88
2004-09-01,14445.96,14445.96,14445.96,14445.96
2004-09-02,13853.48,13853.48,13853.48,13853.48
2004-09-03,13756.88,13756.88,13756.88,13756.88
2004-09-07,13451.12,13451.12,13451.12,13451.12
2004-09-08,13391.96,13391.96,13391.96,13391.96
2004-09-09,13281.08,13281.08,13281.08,13281.08
2004-09-10,13123.12,13123.12,13123.12,13123.12
2004-09-13,12883.84,12883.84,12883.84,12883.84
2004-09-14,12558.44,12558.44,12558.44,12558.44
2004-09-15,12788.96,12788.96,12788.96,12788.96
2004-09-16,12813.64,12813.64,12813.64,12813.64
2004-09-17,12833.6,12833.6,12833.6,12833.6
2004-09-20,12935.44,12935.44,12935.44,12935.44
2004-09-21,12674.2,12674.2,12674.2,12674.2
2004-09-22,12891.84,12891.84,12891.84,12891.84
2004-09-23,12906,12906,12906,12906
2004-09-24,12725.48,12725.48,12725.48,12725.48
2004-09-27,12857.76,12857.76,12857.76,12857.76
2004-09-28,12471.16,12471.16,12471.16,12471.16
2004-09-29,12108.56,12108.56,12108.56,12108.56
2004-09-30,11975.72,11975.72,11975.72,11975.72
2004-10-01,11462.36,11462.36,11462.36,11462.36
2004-10-04,11582.84,11582.84,11582.84,11582.84
2004-10-05,11594.48,11594.48,11594.48,11594.48
2004-10-06,11358.76,11358.76,11358.76,11358.76
2004-10-07,11595.08,11595.08,11595.08,11595.08
2004-10-08,11806.52,11806.52,11806.52,11806.52
2004-10-11,11805.6,11805.6,11805.6,11805.6
2004-10-12,12049.72,12049.72,12049.72,12049.72
2004-10-13,12064.04,12064.04,12064.04,12064.04
2004-10-14,12332.12,12332.12,12332.12,12332.12
2004-10-15,12098.12,12098.12,12098.12,12098.12
2004-10-18,11707.2,11707.2,11707.2,11707.2
2004-10-19,11803.72,11803.72,11803.72,11803.72
2004-10-20,12138.68,12138.68,12138.68,12138.68
2004-10-21,11632.76,11632.76,11632.76,11632.76
2004-10-22,11858.84,11858.84,11858.84,11858.84
2004-10-25,12150.56,12150.56,12150.56,12150.56
2004-10-26,11894.36,11894.36,11894.36,11894.36
