Date,Open,High,Low,Close
2004-03-29,1.78,1.78,1.78,1.78
2004-03-30,1.79,1.79,1.79,1.79
2004-03-31,1.78,1.78,1.78,1.78
2004-04-01,1.8,1.8,1.8,1.8
2004-04-02,1.86,1.86,1.86,1.86
2004-04-05,1.9,1.9,1.9,1.9
2004-04-06,1.87,1.87,1.87,1.87
2004-04-07,1.84,1.84,1.84,1.84
2004-04-08,1.85,1.85,1.85,1.85
2004-04-12,1.88,1.88,1.88,1.88
2004-04-13,1.82,1.82,1.82,1.82
2004-04-14,1.81,1.81,1.81,1.81
2004-04-15,1.81,1.81,1.81,1.81
2004-04-16,1.83,1.83,1.83,1.83
2004-04-19,1.83,1.83,1.83,1.83
2004-04-20,1.81,1.81,1.81,1.81
2004-04-21,1.84,1.84,1.84,1.84
2004-04-22,1.95,1.95,1.95,1.95
2004-04-23,1.93,1.93,1.93,1.93
2004-04-26,1.95,1.95,1.95,1.95
2004-04-27,1.98,1.98,1.98,1.98
2004-04-28,1.92,1.92,1.92,1.92
2004-04-29,1.88,1.88,1.88,1.88
2004-04-30,1.85,1.85,1.85,1.85
2004-05-03,1.9,1.9,1.9,1.9
2004-05-04,1.92,1.92,1.92,1.92
2004-05-05,1.97,1.97,1.97,1.97
2004-05-06,1.9,1.9,1.9,1.9
2004-05-07,1.84,1.84,1.84,1.84
2004-05-10,1.78,1.78,1.78,1.78
2004-05-11,1.83,1.83,1.83,1.83
2004-05-12,1.86,1.86,1.86,1.86
2004-05-13,1.86,1.86,1.86,1.86
2004-05-14,1.85,1.85,1.85,1.85
2004-05-17,1.8,1.8,1.8,1.8
2004-05-18,1.81,1.81,1.81,1.81
2004-05-19,1.9,1.9,1.9,1.9
2004-05-20,1.88,1.88,1.88,1.88
2004-05-21,1.89,1.89,1.89,1.89
2004-05-24,1.94,1.94,1.94,1.94
2004-05-25,2.06,2.06,2.06,2.06
2004-05-26,2.05,2.05,2.05,2.05
2004-05-27,2.08,2.08,2.08,2.08
2004-05-28,2.05,2.05,2.05,2.05
2004-06-01,2.05,2.05,2.05,2.05
2004-06-02,2.05,2.05,2.05,2.05
2004-06-03,2.03,2.03,2.03,2.03
2004-06-04,2.04,2.04,2.04,2.04
2004-06-07,2.1,2.1,2.1,2.1
2004-06-08,2.14,2.14,2.14,2.14
2004-06-09,2.13,2.13,2.13,2.13
2004-06-10,2.17,2.17,2.17,2.17
2004-06-14,2.17,2.17,2.17,2.17
2004-06-15,2.21,2.21,2.21,2.21
2004-06-16,2.23,2.23,2.23,2.23
2004-06-17,2.22,2.22,2.22,2.22
2004-06-18,2.24,2.24,2.24,2.24
2004-06-21,2.21,2.21,2.21,2.21
2004-06-22,2.27,2.27,2.27,2.27
2004-06-23,2.4,2.4,2.4,2.4
2004-06-24,2.36,2.36,2.36,2.36
2004-06-25,2.33,2.33,2.33,2.33
2004-06-28,2.31,2.31,2.31,2.31
